user_id,sa_id,email,phone_number,age,purchase_amount
U-1073,7302118407084,fatima.dlamini15@startup.io,068 827 6021,55,
U-1074,5510033393184,zanele.naidoo99@company.za,087 745 7841,40,859.22
U-1075,8207147365181,johan.ndlovu91@startup.io,078 363 7545,51,822.73
U-1076,6402060617182,,074 493 9435,63,445.84
U-1077,8807210884086,amina.naidoo83@gmail.com,078 581 9570,65,
U-1078,9103089308187,pieter.vandermerwe50@gmail.com,074 227 6175,29,964.4
U-1079,8408010107188,thabo.vandermerwe73@gmail.com,083 935 6246,51,758.38
U-1080,7711217880186,sarah.nkosi68@company.za,071 302 7087,54,211.89
U-1081,8804071099084,zanele.vandermerwe80@company.za,084 664 1591,,247.82
U-1082,6505124527185,,087 551 1439,62,231.01
U-1083,6305248114087,sipho.nkosi36@company.za,075 162 3599,24,276.84
U-1084,7401062345180,sipho.cohen86@webmail.co.za,061 898 1350,47,332.1
U-1085,9204267175087,david.dlamini66@webmail.co.za,072 900 2970,58,783.09
U-1086,9108093320087,lerato.mkhize29@startup.io,066 940 6565,,785.95
U-1087,6502260238083,sarah.naidoo19@webmail.co.za,079 241 5502,63,
U-1088,5807064316186,,071 665 6854,20,701.62
U-1089,7401182188082,amina.vandermerwe42@startup.io,086 444 8247,61,133.75
U-1090,8602110842180,sipho.mkhize94@webmail.co.za,076 370 8554,20,233.1
U-1091,5003153772083,johan.mkhize83@gmail.com,074 584 2785,52,590.29
U-1092,7310119441184,lerato.patel28@startup.io,072 923 1778,23,582.75
U-1093,6310204555087,zanele.botha89@gmail.com,082 418 2949,22,693.9
U-1094,6404026530189,sarah.mkhize65@startup.io,079 492 5123,30,
U-1095,8403022125188,pieter.mkhize39@startup.io,076 850 1457,37,403.09
U-1096,5909246440081,sarah.patel20@company.za,074 790 1413,35,638.84
U-1097,8709109335187,sarah.naidoo67@gmail.com,081 572 4254,,993.56
U-1098,5202205182183,,068 937 3451,43,
U-1099,5108128855089,amina.jones26@company.za,084 931 5677,65,15.64
U-1100,9606062581186,amina.patel18@gmail.com,089 668 3197,18,530.47
U-1101,8505205314189,sarah.mkhize84@gmail.com,077 269 5814,21,
U-1102,9304039064184,david.botha4@startup.io,065 424 5054,45,45.07
U-1103,8511057345089,amina.molefe78@gmail.com,088 833 7287,64,182.5
U-1104,5402180752086,david.dlamini91@startup.io,083 311 7771,,784.5
U-1105,8703273391189,fatima.botha55@webmail.co.za,068 410 1889,36,923.48
U-1106,6506109217086,thabo.naidoo76@company.za,064 738 5994,58,712.06
U-1107,6207166653083,,075 499 3497,43,522.9
U-1108,7509064373186,,066 957 3887,18,181.79
U-1109,7605019380182,lerato.botha60@webmail.co.za,085 647 3712,30,309.96
U-1110,8304027462083,thabo.jones6@company.za,063 724 1933,63,800.43
U-1111,5005218874185,pieter.naidoo60@gmail.com,063 940 1843,54,754.27
U-1112,5704132454083,sarah.nkosi67@startup.io,088 367 8532,27,
U-1113,9901130308085,sipho.mkhize53@webmail.co.za,079 972 4084,23,350.08
U-1114,9710244720087,fatima.vandermerwe52@startup.io,083 757 8702,22,845.08
U-1115,5807110137085,zanele.vandermerwe89@company.za,075 577 9023,,953.54
U-1116,7610194171181,david.jones12@company.za,075 633 9494,46,884.81
U-1117,7509199750089,,069 782 7691,64,635.0
U-1118,9711058530187,sarah.nkosi84@company.za,066 813 9393,58,401.29
U-1119,9705129516085,sipho.mkhize24@gmail.com,088 923 6087,40,322.86
U-1120,9705167861183,johan.naidoo43@webmail.co.za,072 209 6633,48,131.86
U-1121,9903219072189,amina.nkosi51@webmail.co.za,068 130 2033,31,995.84
U-1122,5606057400082,thabo.dlamini43@startup.io,073 729 6582,57,
U-1123,8907128012186,zanele.nkosi87@company.za,061 869 7624,48,415.31
U-1124,5801124494183,johan.mkhize10@webmail.co.za,088 938 5631,,733.33
U-1125,8501074112187,sipho.mkhize68@gmail.com,079 106 4032,54,
U-1126,7701190871083,zanele.jones86@company.za,072 782 6774,56,28.29
U-1127,8108202676183,naledi.dlamini37@gmail.com,084 832 7465,53,517.68
U-1128,9701212503180,sipho.ndlovu27@company.za,073 157 1746,23,668.6
U-1129,5609269802185,sarah.dlamini23@webmail.co.za,086 781 9333,42,
U-1130,5802096599185,pieter.naidoo88@gmail.com,084 387 8252,63,
U-1131,8205156695188,,086 923 7457,,398.61
U-1132,6301117755183,kagiso.dlamini40@gmail.com,076 944 2345,48,624.16
U-1133,6112056442081,lerato.naidoo78@gmail.com,065 641 9815,39,636.4
U-1134,5301084125088,thabo.naidoo70@webmail.co.za,068 124 6318,27,359.14
U-1135,5310238972181,pieter.naidoo64@startup.io,071 860 9234,22,
U-1136,6603015944082,,077 920 8553,53,116.94
U-1137,5309265015180,naledi.molefe85@startup.io,083 987 5139,57,630.04
U-1138,6305034824189,lerato.molefe60@startup.io,073 880 3052,29,251.03
U-1139,5510089737086,lerato.molefe15@gmail.com,087 165 8972,28,621.14
U-1140,7303200197083,fatima.jones69@company.za,087 280 1956,61,
U-1141,9307096284083,zanele.botha87@gmail.com,079 593 2886,20,136.5
U-1142,8104188621088,,062 939 3321,54,457.17
U-1143,5411150590080,lerato.smith23@webmail.co.za,088 679 3095,61,986.57
U-1144,7009189015185,sarah.dlamini38@startup.io,069 543 2817,60,307.31
U-1145,8209044026086,sarah.jones69@startup.io,068 254 5902,23,
U-1146,7705157775083,johan.vandermerwe76@company.za,082 707 8534,51,633.61
U-1147,8005126412181,thabo.jones17@gmail.com,075 255 5921,62,710.88
U-1148,7802095693087,amina.nkosi24@gmail.com,067 134 2722,43,
U-1149,6503058939187,zanele.vandermerwe82@startup.io,073 480 5177,,
U-1150,5508188810082,pieter.naidoo80@webmail.co.za,063 418 6689,55,65.3
