user_id,sa_id,email,phone_number,age,purchase_amount
U-1055,XXX-XXX-XXXX,pieter.nkosi48@startup.io,XXX-XXX-XXXX,29.0,622.98
U-1056,XXX-XXX-XXXX,pieter.mkhize37@company.za,XXX-XXX-XXXX,54.0,435.46
U-1057,XXX-XXX-XXXX,fatima.dlamini34@startup.io,XXX-XXX-XXXX,61.0,360.1
U-1058,XXX-XXX-XXXX,david.botha34@startup.io,XXX-XXX-XXXX,40.0,690.23
U-1059,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,63.0,25.37
U-1060,XXX-XXX-XXXX,zanele.dlamini1@gmail.com,XXX-XXX-XXXX,56.0,964.57
U-1061,XXX-XXX-XXXX,amina.smith25@company.za,XXX-XXX-XXXX,46.0,136.6
U-1062,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,27.0,0.0
U-1063,XXX-XXX-XXXX,sipho.patel80@gmail.com,XXX-XXX-XXXX,33.0,39.49
U-1064,XXX-XXX-XXXX,amina.mkhize98@gmail.com,XXX-XXX-XXXX,46.0,776.22
U-1065,XXX-XXX-XXXX,johan.naidoo62@company.za,XXX-XXX-XXXX,55.0,492.95
U-1066,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,33.0,0.0
U-1067,XXX-XXX-XXXX,sipho.smith37@gmail.com,XXX-XXX-XXXX,0.0,185.31
U-1068,XXX-XXX-XXXX,sarah.dlamini56@gmail.com,XXX-XXX-XXXX,34.0,708.27
U-1069,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,32.0,0.0
U-1070,XXX-XXX-XXXX,thabo.vandermerwe11@startup.io,XXX-XXX-XXXX,56.0,0.0
U-1071,XXX-XXX-XXXX,david.dlamini30@company.za,XXX-XXX-XXXX,46.0,0.0
U-1072,XXX-XXX-XXXX,lerato.nkosi26@webmail.co.za,XXX-XXX-XXXX,23.0,338.17
U-1073,XXX-XXX-XXXX,fatima.dlamini15@startup.io,XXX-XXX-XXXX,55.0,0.0
U-1074,XXX-XXX-XXXX,zanele.naidoo99@company.za,XXX-XXX-XXXX,40.0,859.22
U-1075,XXX-XXX-XXXX,johan.ndlovu91@startup.io,XXX-XXX-XXXX,51.0,822.73
U-1076,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,63.0,445.84
U-1077,XXX-XXX-XXXX,amina.naidoo83@gmail.com,XXX-XXX-XXXX,65.0,0.0
U-1078,XXX-XXX-XXXX,pieter.vandermerwe50@gmail.com,XXX-XXX-XXXX,29.0,964.4
U-1079,XXX-XXX-XXXX,thabo.vandermerwe73@gmail.com,XXX-XXX-XXXX,51.0,758.38
U-1080,XXX-XXX-XXXX,sarah.nkosi68@company.za,XXX-XXX-XXXX,54.0,211.89
U-1081,XXX-XXX-XXXX,zanele.vandermerwe80@company.za,XXX-XXX-XXXX,0.0,247.82
U-1082,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,62.0,231.01
U-1083,XXX-XXX-XXXX,sipho.nkosi36@company.za,XXX-XXX-XXXX,24.0,276.84
U-1084,XXX-XXX-XXXX,sipho.cohen86@webmail.co.za,XXX-XXX-XXXX,47.0,332.1
U-1085,XXX-XXX-XXXX,david.dlamini66@webmail.co.za,XXX-XXX-XXXX,58.0,783.09
U-1086,XXX-XXX-XXXX,lerato.mkhize29@startup.io,XXX-XXX-XXXX,0.0,785.95
U-1087,XXX-XXX-XXXX,sarah.naidoo19@webmail.co.za,XXX-XXX-XXXX,63.0,0.0
U-1088,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,20.0,701.62
U-1089,XXX-XXX-XXXX,amina.vandermerwe42@startup.io,XXX-XXX-XXXX,61.0,133.75
U-1090,XXX-XXX-XXXX,sipho.mkhize94@webmail.co.za,XXX-XXX-XXXX,20.0,233.1
U-1091,XXX-XXX-XXXX,johan.mkhize83@gmail.com,XXX-XXX-XXXX,52.0,590.29
U-1092,XXX-XXX-XXXX,lerato.patel28@startup.io,XXX-XXX-XXXX,23.0,582.75
U-1093,XXX-XXX-XXXX,zanele.botha89@gmail.com,XXX-XXX-XXXX,22.0,693.9
U-1094,XXX-XXX-XXXX,sarah.mkhize65@startup.io,XXX-XXX-XXXX,30.0,0.0
U-1095,XXX-XXX-XXXX,pieter.mkhize39@startup.io,XXX-XXX-XXXX,37.0,403.09
U-1096,XXX-XXX-XXXX,sarah.patel20@company.za,XXX-XXX-XXXX,35.0,638.84
U-1097,XXX-XXX-XXXX,sarah.naidoo67@gmail.com,XXX-XXX-XXXX,0.0,993.56
U-1098,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,43.0,0.0
U-1099,XXX-XXX-XXXX,amina.jones26@company.za,XXX-XXX-XXXX,65.0,15.64
U-1100,XXX-XXX-XXXX,amina.patel18@gmail.com,XXX-XXX-XXXX,18.0,530.47
U-1101,XXX-XXX-XXXX,sarah.mkhize84@gmail.com,XXX-XXX-XXXX,21.0,0.0
U-1102,XXX-XXX-XXXX,david.botha4@startup.io,XXX-XXX-XXXX,45.0,45.07
U-1103,XXX-XXX-XXXX,amina.molefe78@gmail.com,XXX-XXX-XXXX,64.0,182.5
U-1104,XXX-XXX-XXXX,david.dlamini91@startup.io,XXX-XXX-XXXX,0.0,784.5
U-1105,XXX-XXX-XXXX,fatima.botha55@webmail.co.za,XXX-XXX-XXXX,36.0,923.48
U-1106,XXX-XXX-XXXX,thabo.naidoo76@company.za,XXX-XXX-XXXX,58.0,712.06
U-1107,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,43.0,522.9
U-1108,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,18.0,181.79
U-1109,XXX-XXX-XXXX,lerato.botha60@webmail.co.za,XXX-XXX-XXXX,30.0,309.96
U-1110,XXX-XXX-XXXX,thabo.jones6@company.za,XXX-XXX-XXXX,63.0,800.43
U-1111,XXX-XXX-XXXX,pieter.naidoo60@gmail.com,XXX-XXX-XXXX,54.0,754.27
U-1112,XXX-XXX-XXXX,sarah.nkosi67@startup.io,XXX-XXX-XXXX,27.0,0.0
U-1113,XXX-XXX-XXXX,sipho.mkhize53@webmail.co.za,XXX-XXX-XXXX,23.0,350.08
U-1114,XXX-XXX-XXXX,fatima.vandermerwe52@startup.io,XXX-XXX-XXXX,22.0,845.08
U-1115,XXX-XXX-XXXX,zanele.vandermerwe89@company.za,XXX-XXX-XXXX,0.0,953.54
U-1116,XXX-XXX-XXXX,david.jones12@company.za,XXX-XXX-XXXX,46.0,884.81
U-1117,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,64.0,635.0
U-1118,XXX-XXX-XXXX,sarah.nkosi84@company.za,XXX-XXX-XXXX,58.0,401.29
U-1119,XXX-XXX-XXXX,sipho.mkhize24@gmail.com,XXX-XXX-XXXX,40.0,322.86
U-1120,XXX-XXX-XXXX,johan.naidoo43@webmail.co.za,XXX-XXX-XXXX,48.0,131.86
U-1121,XXX-XXX-XXXX,amina.nkosi51@webmail.co.za,XXX-XXX-XXXX,31.0,995.84
U-1122,XXX-XXX-XXXX,thabo.dlamini43@startup.io,XXX-XXX-XXXX,57.0,0.0
U-1123,XXX-XXX-XXXX,zanele.nkosi87@company.za,XXX-XXX-XXXX,48.0,415.31
U-1124,XXX-XXX-XXXX,johan.mkhize10@webmail.co.za,XXX-XXX-XXXX,0.0,733.33
U-1125,XXX-XXX-XXXX,sipho.mkhize68@gmail.com,XXX-XXX-XXXX,54.0,0.0
U-1126,XXX-XXX-XXXX,zanele.jones86@company.za,XXX-XXX-XXXX,56.0,28.29
U-1127,XXX-XXX-XXXX,naledi.dlamini37@gmail.com,XXX-XXX-XXXX,53.0,517.68
U-1128,XXX-XXX-XXXX,sipho.ndlovu27@company.za,XXX-XXX-XXXX,23.0,668.6
U-1129,XXX-XXX-XXXX,sarah.dlamini23@webmail.co.za,XXX-XXX-XXXX,42.0,0.0
U-1130,XXX-XXX-XXXX,pieter.naidoo88@gmail.com,XXX-XXX-XXXX,63.0,0.0
U-1131,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,0.0,398.61
U-1132,XXX-XXX-XXXX,kagiso.dlamini40@gmail.com,XXX-XXX-XXXX,48.0,624.16
U-1133,XXX-XXX-XXXX,lerato.naidoo78@gmail.com,XXX-XXX-XXXX,39.0,636.4
U-1134,XXX-XXX-XXXX,thabo.naidoo70@webmail.co.za,XXX-XXX-XXXX,27.0,359.14
U-1135,XXX-XXX-XXXX,pieter.naidoo64@startup.io,XXX-XXX-XXXX,22.0,0.0
U-1136,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,53.0,116.94
U-1137,XXX-XXX-XXXX,naledi.molefe85@startup.io,XXX-XXX-XXXX,57.0,630.04
U-1138,XXX-XXX-XXXX,lerato.molefe60@startup.io,XXX-XXX-XXXX,29.0,251.03
U-1139,XXX-XXX-XXXX,lerato.molefe15@gmail.com,XXX-XXX-XXXX,28.0,621.14
U-1140,XXX-XXX-XXXX,fatima.jones69@company.za,XXX-XXX-XXXX,61.0,0.0
U-1141,XXX-XXX-XXXX,zanele.botha87@gmail.com,XXX-XXX-XXXX,20.0,136.5
U-1142,XXX-XXX-XXXX,Unknown,XXX-XXX-XXXX,54.0,457.17
U-1143,XXX-XXX-XXXX,lerato.smith23@webmail.co.za,XXX-XXX-XXXX,61.0,986.57
U-1144,XXX-XXX-XXXX,sarah.dlamini38@startup.io,XXX-XXX-XXXX,60.0,307.31
U-1145,XXX-XXX-XXXX,sarah.jones69@startup.io,XXX-XXX-XXXX,23.0,0.0
U-1146,XXX-XXX-XXXX,johan.vandermerwe76@company.za,XXX-XXX-XXXX,51.0,633.61
U-1147,XXX-XXX-XXXX,thabo.jones17@gmail.com,XXX-XXX-XXXX,62.0,710.88
U-1148,XXX-XXX-XXXX,amina.nkosi24@gmail.com,XXX-XXX-XXXX,43.0,0.0
U-1149,XXX-XXX-XXXX,zanele.vandermerwe82@startup.io,XXX-XXX-XXXX,0.0,0.0
U-1150,XXX-XXX-XXXX,pieter.naidoo80@webmail.co.za,XXX-XXX-XXXX,55.0,65.3
